"HGME.ID","Parent Code","Book No.","Extract No.","Sample No.","Expt Date","Extraction Solvents","Replicate","Internal Standards?","Crude Wt / g","Tare / g","Final / g","Extract Wt / mg","Storage Location","Other Identifiers?","Notes"
"HGME_0115","HGMB_0007","MC01-26","86_1p","MC01-26-86_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A7",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0116","HGMB_0008","MC01-26","86_2p","MC01-26-86_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-A8",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0117","HGMB_0009","MC01-26","86_3p","MC01-26-86_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-A9",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0118","HGMB_0010","MC01-26","301_1p","MC01-26-301_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A10",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0119","HGMB_0011","MC01-26","301_2p","MC01-26-301_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B1",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0120","HGMB_0012","MC01-26","301_3p","MC01-26-301_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B2",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0121","HGMB_0013","MC01-26","565_1p","MC01-26-565_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-B3",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0122","HGMB_0014","MC01-26","565_2p","MC01-26-565_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B4",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0123","HGMB_0015","MC01-26","565_3p","MC01-26-565_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B5",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0124","HGMB_0016","MC01-26","Con_1p","MC01-26-Con_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-B6",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0125","HGMB_0017","MC01-26","Con_2p","MC01-26-Con_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B7",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0126","HGMB_0018","MC01-26","Con_3p","MC01-26-Con_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B8",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0127","HGMB_0001","MC01-26","614_1n","MC01-26-614_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0128","HGMB_0002","MC01-26","614_2n","MC01-26-614_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0129","HGMB_0003","MC01-26","614_3n","MC01-26-614_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0130","HGMB_0004","MC01-26","64_1n","MC01-26-64_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0131","HGMB_0005","MC01-26","64_2n","MC01-26-64_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0132","HGMB_0006","MC01-26","64_3n","MC01-26-64_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0133","HGMB_0007","MC01-26","86_1n","MC01-26-86_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0134","HGMB_0008","MC01-26","86_2n","MC01-26-86_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0135","HGMB_0009","MC01-26","86_3n","MC01-26-86_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0136","HGMB_0010","MC01-26","301_1n","MC01-26-301_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0137","HGMB_0011","MC01-26","301_2n","MC01-26-301_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0138","HGMB_0012","MC01-26","301_3n","MC01-26-301_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0139","HGMB_0013","MC01-26","565_1n","MC01-26-565_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0140","HGMB_0014","MC01-26","565_2n","MC01-26-565_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0141","HGMB_0015","MC01-26","565_3n","MC01-26-565_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0142","HGMB_0016","MC01-26","Con_1n","MC01-26-Con_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0143","HGMB_0017","MC01-26","Con_2n","MC01-26-Con_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0144","HGMB_0018","MC01-26","Con_3n","MC01-26-Con_3n",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0145","HGMB_0019","MC01-23","L1","MC01-23-L1",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0146","HGMB_0020","MC01-23","L2","MC01-23-L2",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0147","HGMB_0021","MC01-23","L3","MC01-23-L3",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0148","HGMB_0022","MC01-23","L6","MC01-23-L6",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0149","HGMB_0023","MC01-23","L7","MC01-23-L7",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0150","HGMB_0024","MC01-23","L8","MC01-23-L8",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0151","HGMB_0025","MC01-23","CON","MC01-23-CON",2024-06-26,"75% MeOH",NA,"Yes",NA,NA,NA,"0",NA,NA,"Ada cell assay"
"HGME_0152","HGMH_0003","MC01-32","EX","MC01-32-EX",2024-07-04,"100% MeOH",NA,NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0153","HGME_0043","MC01-34","86-1","MC01-34-86-1",2024-07-11,"100% MeOH","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0154","HGME_0044","MC01-34","86-2","MC01-34-86-2",2024-07-11,"100% MeOH","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0155","HGME_0045","MC01-34","86-3","MC01-34-86-3",2024-07-11,"100% MeOH","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0156","HGME_0025","MC01-34","614-1","MC01-34-614-1",2024-07-11,"100% MeOH","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0157","HGME_0026","MC01-34","614-2","MC01-34-614-2",2024-07-11,"100% MeOH","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0158","HGME_0027","MC01-34","614-3","MC01-34-614-3",2024-07-11,"100% MeOH","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0159","HGME_0037","MC01-34","301-1","MC01-34-301-1",2024-07-11,"100% MeOH","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0160","HGME_0038","MC01-34","301-2","MC01-34-301-2",2024-07-11,"100% MeOH","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0161","HGME_0039","MC01-34","301-3","MC01-34-301-3",2024-07-11,"100% MeOH","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0162","HGME_0049","MC01-34","565-1","MC01-34-565-1",2024-07-11,"100% MeOH","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0163","HGME_0050","MC01-34","565-2","MC01-34-565-2",2024-07-11,"100% MeOH","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0164","HGME_0051","MC01-34","565-3","MC01-34-565-3",2024-07-11,"100% MeOH","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0165","HGME_0031","MC01-34","64-1","MC01-34-64-1",2024-07-11,"100% MeOH","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0166","HGME_0032","MC01-34","64-2","MC01-34-64-2",2024-07-11,"100% MeOH","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0167","HGME_0033","MC01-34","64-3","MC01-34-64-3",2024-07-11,"100% MeOH","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0168","HGME_0153","MC01-34","86-1-ME","MC01-34-86-1-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0169","HGME_0154","MC01-34","86-2-ME","MC01-34-86-2-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0170","HGME_0155","MC01-34","86-3-ME","MC01-34-86-3-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0171","HGME_0156","MC01-34","614-1-ME","MC01-34-614-1-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0172","HGME_0157","MC01-34","614-2-ME","MC01-34-614-2-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0173","HGME_0158","MC01-34","614-3-ME","MC01-34-614-3-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0174","HGME_0159","MC01-34","301-1-ME","MC01-34-301-1-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0175","HGME_0160","MC01-34","301-2-ME","MC01-34-301-2-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0176","HGME_0161","MC01-34","301-3-ME","MC01-34-301-3-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0177","HGME_0162","MC01-34","565-1-ME","MC01-34-565-1-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0178","HGME_0163","MC01-34","565-2-ME","MC01-34-565-2-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0179","HGME_0164","MC01-34","565-3-ME","MC01-34-565-3-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0180","HGME_0165","MC01-34","64-1-ME","MC01-34-64-1-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","1",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0181","HGME_0166","MC01-34","64-2-ME","MC01-34-64-2-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","2",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0182","HGME_0167","MC01-34","64-3-ME","MC01-34-64-3-ME",2024-07-12,"MTBE/MeOH/H2O 2:2:1","3",NA,NA,NA,NA,"0",NA,NA,NA
"HGME_0183","HGMH_0004","PR01-29","EX","PR01-29-EX",2024-07-17,"3:1 MeOH/DCM",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0184","HGME_0183","PR01-33","1","PR01-33-1",2024-07-25,"DCM/MeOH/Water",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,"Performed trituration"
"HGME_0185","HGME_0183","PR01-33","2","PR01-33-2",2024-07-25,"Biphasic DCM/Water",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,"Performed biphasic extraction (MeOH/DCM)"
"HGME_0186","HGME_0184","PR01-34","1","PR01-34-1",2024-07-27,"DCM",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0187","HGME_0184","PR01-34","2","PR01-34-2",2024-07-27,"MeOH",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0188","HGME_0184","PR01-34","3","PR01-34-3",2024-07-27,"Water",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0189","HGME_0185","PR01-35","1","PR01-35-1",2024-07-27,"DCM",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0190","HGME_0185","PR01-35","2","PR01-35-2",2024-07-27,"Water",NA,NA,NA,NA,NA,"0","Agribio fridge",NA,NA
"HGME_0191","HGMH_0005","MC01-44","R1","MC01-44-R1",2024-08-20,"MeOH","1","No",0.12,1.1082,1.1306,"22.399999999999977",NA,NA,NA
"HGME_0192","HGMH_0005","MC01-44","R2","MC01-44-R2",2024-08-20,"MeOH","2","No",0.07,1.1099,1.1199,"9.9999999999997868",NA,NA,NA
"HGME_0193","HGMH_0005","MC01-44","R3","MC01-44-R3",2024-08-20,"MeOH","3","No",0.06,1.1071,1.1152,"8.0999999999999961",NA,NA,NA
"HGME_0194","HGMH_0006","MC01-50","1","MC01-50-1",2024-10-07,"MeOH","1","No",41.74,285.84,287.68,"1840.0000000000318",NA,NA,NA
"HGME_0195","HGMH_0006","MC01-50","2","MC01-50-2",2024-10-07,"MeOH","2","No",39.04,319.85,322.14,"2289.9999999999636",NA,NA,NA
"HGME_0196","HGMH_0006","MC01-50","3","MC01-50-3",2024-10-07,"MeOH","3","No",38.93,320.25,322.08,"1829.9999999999841",NA,NA,NA
"HGME_0197",NA,"MC01-51","1","MC01-51-1",2024-10-14,"MeOH","1","No",27.89,320.07,320.88,"810.00000000000227",NA,NA,NA
"HGME_0198",NA,"MC01-51","2","MC01-51-2",2024-10-14,"MeOH","2","No",23.2,285.86,286.46,"599.99999999996589",NA,NA,NA
"HGME_0199",NA,"MC01-51","3","MC01-51-3",2024-10-14,"MeOH","3","No",25.7,299.69,300.45,"759.99999999999091",NA,NA,NA
"HGME_0200","HGME_0194","MC01-52","DCM","MC01-52-DCM",NA,"DCM","1","No",NA,16.753,17.5503,"797.3",NA,NA,NA
"HGME_0201","HGME_0194","MC01-52","AQ","MC01-52-AQ",NA,"Water","1","No",NA,300.23,301.25,"1019.9999999999818",NA,NA,NA
"HGME_0202","HGME_0195","MC01-53","DCM","MC01-53-DCM",NA,"DCM","2","No",NA,16.8443,17.9531,"1108.7999999999986",NA,NA,NA
"HGME_0203","HGME_0195","MC01-53","AQ","MC01-53-AQ",NA,"Water","2","No",NA,341.3,NA,"-341300",NA,NA,NA
"HGME_0204","HGME_0196","MC01-54","DCM","MC01-54-DCM",NA,"DCM","3","No",NA,16.7413,17.2443,"503.00000000000011",NA,NA,NA
"HGME_0205","HGME_0196","MC01-54","AQ","MC01-54-AQ",NA,"Water","3","No",NA,337.83,NA,"-337830",NA,NA,NA
"HGME_0206","HGME_0197","MC01-58","DCM","MC01-58-DCM",NA,"DCM","1","No",NA,16.7923,17.0206,"228.30000000000084",NA,NA,NA
"HGME_0207","HGME_0197","MC01-58","AQ","MC01-58-AQ",NA,"Water","1","No",NA,335.91,NA,"-335910",NA,NA,NA
"HGME_0208","HGME_0198","MC01-59","DCM","MC01-59-DCM",NA,"DCM","2","No",NA,16.7865,16.9446,"158.10000000000102",NA,NA,NA
"HGME_0209","HGME_0198","MC01-59","AQ","MC01-59-AQ",NA,"Water","2","No",NA,334.24,NA,"-334240",NA,NA,NA
"HGME_0210","HGME_0199","MC01-60","DCM","MC01-60-DCM",NA,"DCM","3","No",NA,16.7396,16.9421,"202.50000000000057",NA,NA,NA
"HGME_0211","HGME_0199","MC01-60","AQ","MC01-60-AQ",NA,"Water","3","No",NA,337.84,NA,"-337840",NA,NA,NA
"HGME_0212","HGME_0201","MC01-60","AQP1","MC01-60-AQP1",2024-10-24,"Water",NA,"No",NA,1.1169,1.1177,"0.79999999999991189",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0213","HGME_0201","MC01-60","AQP2","MC01-60-AQP2",2024-10-24,"Water",NA,"No",NA,1.1122,1.1181,"5.9000000000000163",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0214","HGME_0201","MC01-60","AQP3","MC01-60-AQP3",2024-10-24,"Water",NA,"No",NA,1.105,1.1057,"0.69999999999992291",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0215","HGME_0201","MC01-60","AQP4","MC01-60-AQP4",2024-10-24,"Water",NA,"No",NA,1.1112,1.1127,"1.5000000000000568",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0216","HGME_0201","MC01-60","AQP5","MC01-60-AQP5",2024-10-24,"Water",NA,"No",NA,1.1033,1.1105,"7.2000000000000952",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0217","HGME_0201","MC01-60","AQP6","MC01-60-AQP6",2024-10-24,"Water",NA,"No",NA,1.1074,1.1123,"4.9000000000001265",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0218","HGME_0201","MC01-60","AQP7","MC01-60-AQP7",2024-10-24,"Water",NA,"No",NA,1.1032,1.1083,"5.1000000000001044",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0219","HGME_0201","MC01-60","AQP8","MC01-60-AQP8",2024-10-24,"Water",NA,"No",NA,1.1109,1.1199,"8.999999999999897",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0220","HGME_0201","MC01-60","AQP9","MC01-60-AQP9",2024-10-24,"Water",NA,"No",NA,1.1068,1.1174,"10.599999999999943",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0221","HGME_0201","MC01-60","AQP10","MC01-60-AQP10",2024-10-24,"Water",NA,"No",NA,1.1073,1.1107,"3.4000000000000696",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0222","HGME_0201","MC01-60","AQP11","MC01-60-AQP11",2024-10-24,"Water",NA,"No",NA,1.1105,1.1155,"4.9999999999998934",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0223","HGME_0201","MC01-60","AQP12","MC01-60-AQP12",2024-10-24,"Water",NA,"No",NA,1.1079,1.1139,"5.9999999999997833",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0224","HGME_0201","MC01-60","AQP13","MC01-60-AQP13",2024-10-24,"Water",NA,"No",NA,1.1034,1.1095,"6.0999999999999943",NA,NA,"Weighed from freezedried AQ sample for SAX testing"
"HGME_0225","HGMH_0006","MC01-67","A","MC01-67-A",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0226","HGMH_0006","MC01-67","B","MC01-67-B",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0227","HGMH_0006","MC01-67","C","MC01-67-C",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0228","HGMH_0006","MC01-67","D","MC01-67-D",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0229","HGMH_0006","MC01-67","E","MC01-67-E",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0230","HGMH_0006","MC01-67","F","MC01-67-F",2024-11-13,"Methanol",NA,"No",NA,NA,NA,"0",NA,NA,"Small-scale extraction for biphasic vs trituration"
"HGME_0231","HGMH_0006","MC01-70","1A","MC01-70-1A",2024-12-16,"Methanol",NA,"No",50.7,NA,NA,"0",NA,NA,NA
"HGME_0232","HGMH_0006","MC01-70","1B-U","MC01-70-1B-U",2024-12-16,"2:1 DCM/MeOH",NA,"No",34.5,NA,NA,"0",NA,NA,"Upper MeOH layer"
"HGME_0233","HGMH_0006","MC01-70","1B-L","MC01-70-1B-L",2024-12-16,"2:1 DCM/MeOH",NA,"No",34.5,NA,NA,"0",NA,NA,"Lower DCM layer"
"HGME_0234","HGMH_0006","MC01-70","1C","MC01-70-1C",2024-12-16,"75% MeOH/H2O",NA,"No",17.6,NA,NA,"0",NA,NA,NA
"HGME_0235","HGMD_0032","MC01-70","2A","MC01-70-2A",2024-12-16,"Methanol",NA,"No",22.1,NA,NA,"0",NA,NA,NA
"HGME_0236","HGMD_0032","MC01-70","2B-U","MC01-70-2B-U",2024-12-16,"2:1 DCM/MeOH",NA,"No",21.2,NA,NA,"0",NA,NA,"Upper MeOH layer"
"HGME_0237","HGMD_0032","MC01-70","2C-L","MC01-70-2C-L",2024-12-16,"2:1 DCM/MeOH",NA,"No",21.2,NA,NA,"0",NA,NA,"Lower DCM layer"
"HGME_0238","HGMD_0032","MC01-70","2C","MC01-70-2C",2024-12-16,"75% MeOH/H2O",NA,"No",45,NA,NA,"0",NA,NA,NA
"HGME_0239","HGMF_1002","MC01-71","55-19","MC01-71-55-19",2025-01-13,"MeOH",NA,"Yes",NA,NA,NA,NA,NA,NA,"Bile acid sample prep"
"HGME_0240","HGMF_1011","MC01-71","55-29","MC01-71-55-29",2025-01-13,"MeOH",NA,"Yes",NA,NA,NA,NA,NA,NA,"Bile acid sample prep"
"HGME_0241","HGMF_1011","MC01-72","55-29","MC01-72-55-29",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"SCFA sample prep"
"HGME_0242","HGMF_1014","MC01-72","55-34","MC01-72-55-34",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"SCFA sample prep"
